,conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
0,200,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2: Government,,1946,2: War,1,3: Internal (between government and internal opposition),1946-07-18,1,1946-07-21,2,1,1946-07-21,1.0,145,,,,145,5,18.1
1,200,Bolivia,Government of Bolivia,23,,MNR,720,,2: Government,,1952,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-07-18,1,1952-04-09,1,1,1952-04-12,1.0,145,,,,145,5,18.1
2,200,Bolivia,Government of Bolivia,23,,ELN,721,,2: Government,,1967,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-07-18,1,1967-03-31,3,1,1967-10-16,1.0,145,,,,145,5,18.1
3,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1946,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
4,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1947,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
5,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1948,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
6,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1949,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
7,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1950,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
8,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1951,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
9,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1952,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,18.1
10,201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1: Territory,Cambodia,1953,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1946-08-31,3,1946-08-31,3,1,1953-11-09,1.0,220,,,,811,3,18.1
11,202,China,Government of China,135,,PLA,161,,2: Government,,1946,2: War,1,3: Internal (between government and internal opposition),1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,18.1
12,202,China,Government of China,135,,PLA,161,,2: Government,,1947,2: War,1,3: Internal (between government and internal opposition),1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,18.1
13,202,China,Government of China,135,,PLA,161,,2: Government,,1948,2: War,1,3: Internal (between government and internal opposition),1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,18.1
14,202,China,Government of China,135,,PLA,161,,2: Government,,1949,2: War,1,3: Internal (between government and internal opposition),1946-12-31,7,1946-12-31,7,1,1949-12-08,1.0,710,,,,710,3,18.1
15,203,Greece,Government of Greece,52,,DSE,162,,2: Government,,1946,2: War,1,3: Internal (between government and internal opposition),1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,18.1
16,203,Greece,Government of Greece,52,,DSE,162,,2: Government,,1947,2: War,1,3: Internal (between government and internal opposition),1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,18.1
17,203,Greece,Government of Greece,52,,DSE,162,,2: Government,,1948,2: War,1,3: Internal (between government and internal opposition),1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,18.1
18,203,Greece,Government of Greece,52,,DSE,162,,2: Government,,1949,2: War,1,3: Internal (between government and internal opposition),1946-03-31,4,1946-03-31,4,1,1949-10-16,1.0,350,,,,350,1,18.1
19,204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1: Territory,Indonesia,1946,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,18.1
20,204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1: Territory,Indonesia,1947,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,18.1
21,204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1: Territory,Indonesia,1948,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,18.1
22,204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1: Territory,Indonesia,1949,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1945-10-13,2,1946-12-31,5,1,1949-08-15,1.0,210,,,,850,3,18.1
23,205,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1: Territory,Kurdistan,1946,1: Minor Conflict,0,4: Internationalized internal conflict (internal conflict with external support),1946-05-31,3,1946-05-31,3,1,1946-12-16,1.0,630,,,365,630,2,18.1
24,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1966,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1966-12-31,5,0,,,630,,,,630,2,18.1
25,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1967,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1966-12-31,5,0,,,630,,,,630,2,18.1
26,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1968,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1966-12-31,5,1,1968-12-31,5.0,630,,,,630,2,18.1
27,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1979,2: War,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
28,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1980,2: War,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
29,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1981,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
30,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1982,2: War,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
31,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1983,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
32,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1984,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
33,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1985,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
34,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1986,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
35,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1987,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,18.1
36,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1988,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1979-12-31,5,1,1988-12-31,5.0,630,,,,630,2,18.1
37,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1990,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1990-07-10,2,1,1990-08-17,2.0,630,,,,630,2,18.1
38,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1993,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1993-09-12,2,1,1993-11-11,1.0,630,,,,630,2,18.1
39,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,1996,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,1996-07-28,2,1,1996-07-28,2.0,630,,,,630,2,18.1
40,205,Iran,Government of Iran,114,,KDPI,164,,1: Territory,Kurdistan,2016,1: Minor Conflict,1,3: Internal (between government and internal opposition),1946-05-31,3,2016-12-20,1,1,2016-12-20,1.0,630,,,,630,2,18.1
41,206,Iran,Government of Iran,114,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1: Territory,Azerbaijan,1946,1: Minor Conflict,0,4: Internationalized internal conflict (internal conflict with external support),1945-11-19,1,1946-12-16,5,1,1946-12-16,1.0,630,,,365,630,2,18.1
42,207,Israel,Government of United Kingdom,28,,IZL [Etzel],166,,1: Territory,Israel,1946,1: Minor Conflict,0,1: Extrasystemic (government and external non-state actor),1939-03-31,4,1946-12-31,5,1,1946-12-31,5.0,200,,,,666,2,18.1
